DS_Name,DS_Address,EE_Name,EE_Address,ED_Name,ED_Address,Match
zaffronristorante,6200yongestreet,zezafounsyriancuisine,4manorroadeast,53,28,u
zaffronristorante,6200yongestreet,zezerestaurant,1704queenstreetwest,52,47,u
zaffronristorante,6200yongestreet,zhangsfamilyrestaurant,564wilsonheightsboulevard,51,30,u
zaffronristorante,6200yongestreet,zhenlinghomestylerestaurant,2039eglintonavenuewest,41,43,u
zaffronristorante,6200yongestreet,zhongguorestaurant,3838midlandavenue,57,19,u
zaffronristorante,6200yongestreet,zhusrestaurant,1baldwinstreet,52,48,u
zaffronristorante,6200yongestreet,ziapiera,2070yongestreet,40,93,u
zaffronristorante,6200yongestreet,ziggysmiddleeasternrestaurant,792bathurststreet,48,44,u
zaffronristorante,6200yongestreet,ziggysshawarmaandseafoodhouse,392queenstreetwest,30,48,u
zaffronristorante,6200yongestreet,zillysrestaurant,865wilsonavenue,48,33,u
zaffronristorante,6200yongestreet,zinrestaurant,90avenueroad,60,30,u
zaffronristorante,6200yongestreet,zionheightsjrhigh21269,5900lesliestreet,31,58,u
zaffronristorante,6200yongestreet,zipperzbar,72carltonstreet,30,60,u
zaffronristorante,6200yongestreet,zippiecanca,100mccaulstreet,29,53,u
zaffronristorante,6200yongestreet,zippiecanca,1718queenstreetwest,29,41,u
zaffronristorante,6200yongestreet,zizioncollege,588collegestreet,33,58,u
zaffronristorante,6200yongestreet,zizitrattoria,2590yongestreet,40,87,u
zaffronristorante,6200yongestreet,zo,928stclairavenuewest,21,40,u
zaffronristorante,6200yongestreet,zobelethiopianrestaurant,1160danforthavenue,49,36,u
zaffronristorante,6200yongestreet,zocalo,1426bloorstreetwest,26,47,u
zaffronristorante,6200yongestreet,zodiacchinesedelicacies,5103sheppardavenueeast,30,32,u
zaffronristorante,6200yongestreet,zodiacdiningentertainment,1215danforthavenue,43,30,u
zaffronristorante,6200yongestreet,zodiaclounge,2393eglintonavenueeast,41,38,u
zaffronristorante,6200yongestreet,zodiacrestauranttavern,2961lakeshoreboulevardwest,51,34,u
zaffronristorante,6200yongestreet,zoesbakerycafe,548kingstreetwest,39,50,u
zaffronristorante,6200yongestreet,zoobarcafewest,526queenstreetwest,39,48,u
zaffronristorante,6200yongestreet,zoombargrill,2829eglintonavenueeast,34,38,u
zaffronristorante,6200yongestreet,zoomcaffe,18kingstreeteast,38,52,u
